Date,price,zone
2/1/2019 12:00:00 AM,37.27715,PGAE
2/1/2019 12:00:00 AM,36.47014,SCE
2/1/2019 12:00:00 AM,36.91971,SDGE
2/1/2019 12:00:00 AM,36.04269,VEA
2/1/2019 1:00:00 AM,36.50638,PGAE
2/1/2019 1:00:00 AM,35.51000,SCE
2/1/2019 1:00:00 AM,35.91287,SDGE
2/1/2019 1:00:00 AM,35.18627,VEA
2/1/2019 2:00:00 AM,36.21461,PGAE
2/1/2019 2:00:00 AM,35.24384,SCE
2/1/2019 2:00:00 AM,35.64357,SDGE
2/1/2019 2:00:00 AM,34.91906,VEA
2/1/2019 3:00:00 AM,35.97713,PGAE
2/1/2019 3:00:00 AM,35.05118,SCE
2/1/2019 3:00:00 AM,35.42723,SDGE
2/1/2019 3:00:00 AM,34.73898,VEA
2/1/2019 4:00:00 AM,37.29479,PGAE
2/1/2019 4:00:00 AM,36.41822,SCE
2/1/2019 4:00:00 AM,36.87860,SDGE
2/1/2019 4:00:00 AM,36.06833,VEA
2/1/2019 5:00:00 AM,43.38148,PGAE
2/1/2019 5:00:00 AM,43.12614,SCE
2/1/2019 5:00:00 AM,43.75367,SDGE
2/1/2019 5:00:00 AM,42.68471,VEA
2/1/2019 6:00:00 AM,50.30101,PGAE
2/1/2019 6:00:00 AM,50.27081,SCE
2/1/2019 6:00:00 AM,51.16194,SDGE
2/1/2019 6:00:00 AM,49.66665,VEA
2/1/2019 7:00:00 AM,48.25048,PGAE
2/1/2019 7:00:00 AM,47.20508,SCE
2/1/2019 7:00:00 AM,47.99271,SDGE
2/1/2019 7:00:00 AM,46.61317,VEA
2/1/2019 8:00:00 AM,37.71510,PGAE
2/1/2019 8:00:00 AM,36.43311,SCE
2/1/2019 8:00:00 AM,36.98888,SDGE
2/1/2019 8:00:00 AM,35.76247,VEA
2/1/2019 9:00:00 AM,37.18695,PGAE
2/1/2019 9:00:00 AM,35.14367,SCE
2/1/2019 9:00:00 AM,35.56965,SDGE
2/1/2019 9:00:00 AM,34.30975,VEA
2/1/2019 10:00:00 AM,34.48554,PGAE
2/1/2019 10:00:00 AM,32.47074,SCE
2/1/2019 10:00:00 AM,32.88840,SDGE
2/1/2019 10:00:00 AM,31.66883,VEA
2/1/2019 11:00:00 AM,29.96675,PGAE
2/1/2019 11:00:00 AM,28.28384,SCE
2/1/2019 11:00:00 AM,28.54253,SDGE
2/1/2019 11:00:00 AM,27.82170,VEA
2/1/2019 12:00:00 PM,30.17437,PGAE
2/1/2019 12:00:00 PM,28.34668,SCE
2/1/2019 12:00:00 PM,28.72331,SDGE
2/1/2019 12:00:00 PM,27.71020,VEA
2/1/2019 1:00:00 PM,35.35320,PGAE
2/1/2019 1:00:00 PM,33.32519,SCE
2/1/2019 1:00:00 PM,33.61980,SDGE
2/1/2019 1:00:00 PM,32.57838,VEA
2/1/2019 2:00:00 PM,36.35031,PGAE
2/1/2019 2:00:00 PM,34.80818,SCE
2/1/2019 2:00:00 PM,35.26300,SDGE
2/1/2019 2:00:00 PM,34.10462,VEA
2/1/2019 3:00:00 PM,41.05997,PGAE
2/1/2019 3:00:00 PM,39.92245,SCE
2/1/2019 3:00:00 PM,40.52157,SDGE
2/1/2019 3:00:00 PM,39.06830,VEA
2/1/2019 4:00:00 PM,48.09876,PGAE
2/1/2019 4:00:00 PM,47.91602,SCE
2/1/2019 4:00:00 PM,49.08458,SDGE
2/1/2019 4:00:00 PM,46.81478,VEA
2/1/2019 5:00:00 PM,53.69273,PGAE
2/1/2019 5:00:00 PM,54.46884,SCE
2/1/2019 5:00:00 PM,56.26530,SDGE
2/1/2019 5:00:00 PM,53.01432,VEA
2/1/2019 6:00:00 PM,57.22320,PGAE
2/1/2019 6:00:00 PM,58.10854,SCE
2/1/2019 6:00:00 PM,59.94866,SDGE
2/1/2019 6:00:00 PM,56.26263,VEA
2/1/2019 7:00:00 PM,50.45981,PGAE
2/1/2019 7:00:00 PM,50.95826,SCE
2/1/2019 7:00:00 PM,52.48410,SDGE
2/1/2019 7:00:00 PM,49.57482,VEA
2/1/2019 8:00:00 PM,47.84626,PGAE
2/1/2019 8:00:00 PM,48.12038,SCE
2/1/2019 8:00:00 PM,49.32267,SDGE
2/1/2019 8:00:00 PM,46.78824,VEA
2/1/2019 9:00:00 PM,45.30632,PGAE
2/1/2019 9:00:00 PM,45.27911,SCE
2/1/2019 9:00:00 PM,46.29982,SDGE
2/1/2019 9:00:00 PM,44.09053,VEA
2/1/2019 10:00:00 PM,41.14829,PGAE
2/1/2019 10:00:00 PM,40.61661,SCE
2/1/2019 10:00:00 PM,41.36505,SDGE
2/1/2019 10:00:00 PM,39.88043,VEA
2/1/2019 11:00:00 PM,38.33505,PGAE
2/1/2019 11:00:00 PM,37.66263,SCE
2/1/2019 11:00:00 PM,38.21728,SDGE
2/1/2019 11:00:00 PM,37.27134,VEA
2/2/2019 12:00:00 AM,33.45416,PGAE
2/2/2019 12:00:00 AM,33.09483,SCE
2/2/2019 12:00:00 AM,33.55730,SDGE
2/2/2019 12:00:00 AM,32.73217,VEA
2/2/2019 1:00:00 AM,31.57635,PGAE
2/2/2019 1:00:00 AM,31.20612,SCE
2/2/2019 1:00:00 AM,31.58576,SDGE
2/2/2019 1:00:00 AM,30.91433,VEA
2/2/2019 2:00:00 AM,31.19983,PGAE
2/2/2019 2:00:00 AM,30.64678,SCE
2/2/2019 2:00:00 AM,31.00518,SDGE
2/2/2019 2:00:00 AM,30.40269,VEA
2/2/2019 3:00:00 AM,31.54816,PGAE
2/2/2019 3:00:00 AM,30.95498,SCE
2/2/2019 3:00:00 AM,31.32338,SDGE
2/2/2019 3:00:00 AM,30.72395,VEA
2/2/2019 4:00:00 AM,33.75950,PGAE
2/2/2019 4:00:00 AM,32.94000,SCE
2/2/2019 4:00:00 AM,33.35975,SDGE
2/2/2019 4:00:00 AM,32.73679,VEA
2/2/2019 5:00:00 AM,34.84733,PGAE
2/2/2019 5:00:00 AM,34.01468,SCE
2/2/2019 5:00:00 AM,34.54455,SDGE
2/2/2019 5:00:00 AM,33.86673,VEA
2/2/2019 6:00:00 AM,36.48533,PGAE
2/2/2019 6:00:00 AM,36.28875,SCE
2/2/2019 6:00:00 AM,36.86031,SDGE
2/2/2019 6:00:00 AM,36.12128,VEA
2/2/2019 7:00:00 AM,37.56392,PGAE
2/2/2019 7:00:00 AM,36.86099,SCE
2/2/2019 7:00:00 AM,37.35193,SDGE
2/2/2019 7:00:00 AM,36.66388,VEA
2/2/2019 8:00:00 AM,40.98627,PGAE
2/2/2019 8:00:00 AM,40.14337,SCE
2/2/2019 8:00:00 AM,40.56077,SDGE
2/2/2019 8:00:00 AM,39.58008,VEA
2/2/2019 9:00:00 AM,40.43694,PGAE
2/2/2019 9:00:00 AM,39.55797,SCE
2/2/2019 9:00:00 AM,39.96949,SDGE
2/2/2019 9:00:00 AM,38.87476,VEA
2/2/2019 10:00:00 AM,37.93928,PGAE
2/2/2019 10:00:00 AM,37.23329,SCE
2/2/2019 10:00:00 AM,37.67266,SDGE
2/2/2019 10:00:00 AM,36.64372,VEA
2/2/2019 11:00:00 AM,36.33924,PGAE
2/2/2019 11:00:00 AM,35.65244,SCE
2/2/2019 11:00:00 AM,36.02281,SDGE
2/2/2019 11:00:00 AM,34.99441,VEA
2/2/2019 12:00:00 PM,35.16715,PGAE
2/2/2019 12:00:00 PM,34.49227,SCE
2/2/2019 12:00:00 PM,34.86450,SDGE
2/2/2019 12:00:00 PM,33.77216,VEA
2/2/2019 1:00:00 PM,34.64255,PGAE
2/2/2019 1:00:00 PM,34.03533,SCE
2/2/2019 1:00:00 PM,34.44358,SDGE
2/2/2019 1:00:00 PM,33.34577,VEA
2/2/2019 2:00:00 PM,32.85538,PGAE
2/2/2019 2:00:00 PM,32.23411,SCE
2/2/2019 2:00:00 PM,32.73177,SDGE
2/2/2019 2:00:00 PM,31.71368,VEA
2/2/2019 3:00:00 PM,35.08131,PGAE
2/2/2019 3:00:00 PM,34.24307,SCE
2/2/2019 3:00:00 PM,34.72801,SDGE
2/2/2019 3:00:00 PM,33.73043,VEA
2/2/2019 4:00:00 PM,40.30394,PGAE
2/2/2019 4:00:00 PM,39.61608,SCE
2/2/2019 4:00:00 PM,40.41192,SDGE
2/2/2019 4:00:00 PM,38.94821,VEA
2/2/2019 5:00:00 PM,47.38000,PGAE
2/2/2019 5:00:00 PM,47.12440,SCE
2/2/2019 5:00:00 PM,48.21779,SDGE
2/2/2019 5:00:00 PM,46.19195,VEA
2/2/2019 6:00:00 PM,48.81783,PGAE
2/2/2019 6:00:00 PM,48.63719,SCE
2/2/2019 6:00:00 PM,49.83334,SDGE
2/2/2019 6:00:00 PM,48.03179,VEA
2/2/2019 7:00:00 PM,46.11454,PGAE
2/2/2019 7:00:00 PM,45.86117,SCE
2/2/2019 7:00:00 PM,46.96220,SDGE
2/2/2019 7:00:00 PM,45.07340,VEA
2/2/2019 8:00:00 PM,43.42231,PGAE
2/2/2019 8:00:00 PM,43.10176,SCE
2/2/2019 8:00:00 PM,43.99845,SDGE
2/2/2019 8:00:00 PM,42.44332,VEA
2/2/2019 9:00:00 PM,41.50276,PGAE
2/2/2019 9:00:00 PM,40.88848,SCE
2/2/2019 9:00:00 PM,41.75012,SDGE
2/2/2019 9:00:00 PM,40.25772,VEA
2/2/2019 10:00:00 PM,38.89995,PGAE
2/2/2019 10:00:00 PM,38.26338,SCE
2/2/2019 10:00:00 PM,38.94238,SDGE
2/2/2019 10:00:00 PM,37.58052,VEA
2/2/2019 11:00:00 PM,35.76570,PGAE
2/2/2019 11:00:00 PM,34.98089,SCE
2/2/2019 11:00:00 PM,35.48642,SDGE
2/2/2019 11:00:00 PM,34.65918,VEA
2/3/2019 12:00:00 AM,32.36686,PGAE
2/3/2019 12:00:00 AM,31.82795,SCE
2/3/2019 12:00:00 AM,32.28988,SDGE
2/3/2019 12:00:00 AM,31.49755,VEA
2/3/2019 1:00:00 AM,32.08164,PGAE
2/3/2019 1:00:00 AM,31.48465,SCE
2/3/2019 1:00:00 AM,31.90063,SDGE
2/3/2019 1:00:00 AM,31.15440,VEA
2/3/2019 2:00:00 AM,30.50689,PGAE
2/3/2019 2:00:00 AM,29.82293,SCE
2/3/2019 2:00:00 AM,30.19052,SDGE
2/3/2019 2:00:00 AM,29.61202,VEA
2/3/2019 3:00:00 AM,29.72528,PGAE
2/3/2019 3:00:00 AM,29.06759,SCE
2/3/2019 3:00:00 AM,29.39644,SDGE
2/3/2019 3:00:00 AM,28.86794,VEA
2/3/2019 4:00:00 AM,33.22196,PGAE
2/3/2019 4:00:00 AM,32.21266,SCE
2/3/2019 4:00:00 AM,32.58829,SDGE
2/3/2019 4:00:00 AM,32.17347,VEA
2/3/2019 5:00:00 AM,36.74028,PGAE
2/3/2019 5:00:00 AM,35.86992,SCE
2/3/2019 5:00:00 AM,36.31961,SDGE
2/3/2019 5:00:00 AM,35.71760,VEA
2/3/2019 6:00:00 AM,39.05941,PGAE
2/3/2019 6:00:00 AM,38.08090,SCE
2/3/2019 6:00:00 AM,38.45843,SDGE
2/3/2019 6:00:00 AM,38.04238,VEA
2/3/2019 7:00:00 AM,37.01081,PGAE
2/3/2019 7:00:00 AM,35.82184,SCE
2/3/2019 7:00:00 AM,36.09817,SDGE
2/3/2019 7:00:00 AM,35.82911,VEA
2/3/2019 8:00:00 AM,31.56192,PGAE
2/3/2019 8:00:00 AM,30.30204,SCE
2/3/2019 8:00:00 AM,30.61392,SDGE
2/3/2019 8:00:00 AM,30.02721,VEA
2/3/2019 9:00:00 AM,30.69074,PGAE
